source,recipient,issueDomain,amount,flowType,traceability,largeDonorShare,sourceRecordId,sourceUrl,committeeType,spendingPurpose,supportOppose,disclosureLag
NYC Campaign Finance Board,"Abreu, Shaun",democracy,0.3365,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2243,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Acquafredda, Janine",democracy,0.5204,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2988,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Adams, Adrienne E",democracy,2.4810,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2063,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Aiken, David",democracy,0.1107,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2598,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Alayeto, Clarisa",democracy,0.1634,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2886,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Aldebol, Shirley",democracy,0.3571,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2902,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Arnwine, Dante",democracy,0.0664,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2880,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Aronson, Vanessa T",democracy,0.2027,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2047,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Ashman, Dion M",democracy,0.1974,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2839,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Athayde, Kyle",democracy,0.1477,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-3011,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Aviles, Alexa",democracy,0.3926,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2306,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Barsamian, Dikran",democracy,0.1653,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2975,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
NYC Campaign Finance Board,"Batchu, Sarah L",democracy,0.2027,PUBLIC_MATCH,0.9600,0.1000,nyc-cfb-2025-2835,https://nyccfb.info/DataLibrary/2025_Payments.csv,municipal public matching funds,public funds payment,,0.0400
