awardId,recipient,agency,subAgency,awardType,amount,issueDomain,awardCount,uei,piid,modificationNumber,actionDate,competitionType,numberOfOffers,priceOnlyAward,exPostModification,protestFiled,exclusionFlag,firewallCovered
68HERD22F0007,"AT&T ENTERPRISES, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,45.6682,procurement,1,MX89BGD5FK75,68HERD22F0007,0,2021-10-20,FULL AND OPEN COMPETITION,4,false,false,false,false,false
EPG14S00107,"SKEO SOLUTIONS, INC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,44.9526,procurement,1,J17NK57Q51B3,EPG14S00107,0,2013-11-04,FULL AND OPEN COMPETITION,1,true,false,false,false,false
EPG16H01289,BOOZ ALLEN HAMILTON INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,44.4962,procurement,1,JCBMLGPE6Z71,EPG16H01289,0,2016-03-31,FULL AND OPEN COMPETITION,3,false,false,false,false,false
68HE0523F0046,"KEMRON/ARROWHEAD JV, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,43.5360,procurement,1,JQYTHZ2C8L69,68HE0523F0046,0,2023-05-26,FULL AND OPEN COMPETITION,1,true,false,false,false,false
68HERH21C0009,"CHENEGA IT ENTERPRISE SERVICES, LLC",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,43.1314,procurement,1,W4JMN6B97WC4,68HERH21C0009,0,2021-06-30,NOT COMPETED,1,true,false,false,false,false
68HE0720F0159,"KEMRON/ARROWHEAD JV, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,42.1755,procurement,1,JQYTHZ2C8L69,68HE0720F0159,0,2020-09-18,FULL AND OPEN COMPETITION,4,false,false,false,false,false
68HE0422F0011,"KEMRON ENVIRONMENTAL SERVICES, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,41.9724,procurement,1,XANQARYHQFR1,68HE0422F0011,0,2021-12-17,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,3,false,false,false,true,false
EPC15012,CSRA LLC,Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,41.3121,procurement,1,VSFCW25ZAE49,EPC15012,0,2015-06-29,FULL AND OPEN COMPETITION,1,true,false,false,false,false
68HE0423F0051,"C M C, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,39.9996,procurement,1,CZKDXLMHM8A1,68HE0423F0051,0,2023-07-07,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2,false,false,false,true,false
68HE0524F0122,"AECOM TECHNICAL SERVICES, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,38.5385,procurement,1,EPUXNLX5EYC4,68HE0524F0122,0,2024-09-30,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HERH23F0125,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,38.4101,procurement,1,SMNWM6HN79X5,68HERH23F0125,0,2023-03-16,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HERC24F0156,EASTERN RESEARCH GROUP INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,38.1313,procurement,1,DK4TBEJRAR56,68HERC24F0156,0,2024-03-04,FULL AND OPEN COMPETITION,0,false,false,false,false,false
EPG11D00056,CGI FEDERAL INC.,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,37.1101,procurement,1,TRKEP1HEBNS5,EPG11D00056,0,2011-03-24,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HE0S18F0229,BOOZ ALLEN HAMILTON INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,36.6786,procurement,1,JCBMLGPE6Z71,68HE0S18F0229,0,2018-09-24,FULL AND OPEN COMPETITION,4,false,false,false,false,false
0001,WESTON SOLUTIONS INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,36.5430,procurement,1,KGZWJ8H5U673,0001,0,2017-07-03,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HE0522F0071,"J. F. BRENNAN COMPANY, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,35.4484,procurement,1,LK42U7KJQKW4,68HE0522F0071,0,2022-05-17,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
68HERC24F0515,S C & A INC,Environmental Protection Agency,Environmental Protection Agency,BPA CALL,34.4802,procurement,1,FD83JSMSL9K1,68HERC24F0515,0,2024-09-17,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HE0324F0087,EQ & CH REMEDIATION,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,34.2568,procurement,1,J6FHN6CP5HZ4,68HE0324F0087,0,2024-09-30,FULL AND OPEN COMPETITION,3,false,false,false,false,false
EPC15010,"PEGASUS TECHNICAL SERVICES, INC",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,33.9890,procurement,1,C5H8N7EKMTV3,EPC15010,0,2015-09-28,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,6,false,false,false,true,false
EP1662,"ECS FEDERAL, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,33.7791,procurement,1,XYB4JU4PA6T4,EP1662,0,2010-09-08,FULL AND OPEN COMPETITION,4,false,false,false,false,false
68HE0923F0004,"ARROWHEAD CONTRACTING, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,33.6267,procurement,1,HBB3NK4CBXB5,68HE0923F0004,0,2023-02-06,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,3,false,false,false,true,false
68HE0523C0001,"CH2M HILL, INC",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,32.2227,procurement,1,NBG7N3TRX7K4,68HE0523C0001,0,2023-04-21,NOT COMPETED,1,true,false,false,false,false
68HE0522F0072,"J. F. BRENNAN COMPANY, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,31.8259,procurement,1,LK42U7KJQKW4,68HE0522F0072,0,2022-05-24,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
68HERD24F0032,"VALIANT SOLUTIONS, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,31.5322,procurement,1,GKF8ERUXED41,68HERD24F0032,0,2024-03-07,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,7,false,false,false,true,false
68HERC23F0048,"NORESCO, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,30.3600,procurement,1,YJYYEDBU9Y69,68HERC23F0048,0,2023-01-26,FULL AND OPEN COMPETITION,5,false,false,false,false,false
68HE0322F0023,ENVIRONMENTAL RESTORATION LLC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,30.2241,procurement,1,MHMPN3F73NX3,68HE0322F0023,0,2022-03-18,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
68HE0318F0472,ENVIRONMENTAL RESTORATION LLC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,29.4129,procurement,1,MHMPN3F73NX3,68HE0318F0472,0,2018-07-26,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HERC24F0021,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,29.3124,procurement,1,SMNWM6HN79X5,68HERC24F0021,0,2023-10-05,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HE0524F0027,"J. F. BRENNAN COMPANY, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,29.2751,procurement,1,LK42U7KJQKW4,68HE0524F0027,0,2024-03-07,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
68HE0722F0011,"CH2M HILL, INC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,28.8771,procurement,1,NBG7N3TRX7K4,68HE0722F0011,0,2021-12-06,FULL AND OPEN COMPETITION,1,true,false,false,false,false
68HERH23F0391,WESTON SOLUTIONS INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,28.8132,procurement,1,Z4XGALW7L9K6,68HERH23F0391,0,2023-09-22,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HE0C18F0866,DIVERSIFIED PROTECTION CORP,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,28.5449,procurement,1,EFKMRSEAE2K3,68HE0C18F0866,0,2018-09-13,FULL AND OPEN COMPETITION,4,false,false,false,false,false
CCO00199809D68C98091,"NORESCO, LLC",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,27.9335,procurement,1,YJYYEDBU9Y69,CCO00199809D68C98091,0,2000-06-15,FULL AND OPEN COMPETITION,6,false,false,false,false,false
0005,CGI FEDERAL INC.,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,27.3085,procurement,1,TRKEP1HEBNS5,0005,0,2018-03-29,NOT COMPETED,0,true,false,false,false,false
EPG11D00081,"LEIDOS MANAGEMENT SYSTEMS DESIGNERS, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,26.9471,procurement,1,X1NCU18Q19T9,EPG11D00081,0,2011-04-20,FULL AND OPEN COMPETITION,3,false,false,false,false,false
1001,"APTIM FEDERAL SERVICES, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,26.2504,procurement,1,JT9NZ8J1KQF5,1001,0,2016-08-03,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HERD21F0160,"MAXIMUS FEDERAL TECHNOLOGY SOLUTIONS, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,26.1654,procurement,1,RYMXZHTX4WP3,68HERD21F0160,0,2021-08-26,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,4,false,false,false,true,false
68HE0724F0143,"KEMRON/ARROWHEAD JV, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,25.7993,procurement,1,JQYTHZ2C8L69,68HE0724F0143,0,2024-09-18,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HE0422F0055,"KEMRON ENVIRONMENTAL SERVICES, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,25.6970,procurement,1,XANQARYHQFR1,68HE0422F0055,0,2022-06-29,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,3,false,false,false,true,false
EPD11084,RESEARCH TRIANGLE INSTITUTE,Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,25.6945,procurement,1,JJHCMK4NT5N3,EPD11084,0,2011-09-29,FULL AND OPEN COMPETITION,1,true,false,false,false,false
EPG15H01089,"BLUE CANOPY GROUP, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,25.1504,procurement,1,VSGXDDJUDG86,EPG15H01089,0,2015-03-16,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,3,false,false,false,true,false
68HERC24F0272,THE CADMUS GROUP LLC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,25.1318,procurement,1,WSEZME8NNBA8,68HERC24F0272,0,2024-06-24,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HE0920F0076,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,24.9766,procurement,1,LEEMJD9WKDC9,68HE0920F0076,0,2020-07-24,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
68HE0324F0071,"HYDROGEOLOGIC, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,24.9528,procurement,1,S7Q4GKNGGA81,68HE0324F0071,0,2024-09-26,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HERH20F0134,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,24.4748,procurement,1,MMLKPW9JLX64,68HERH20F0134,0,2020-01-31,FULL AND OPEN COMPETITION,1,true,false,false,false,false
