generatedAt,seed,runs,contestsPerRun,scenarioKey,scenarioName,totalContests,capturedContests,antiCaptureReforms,enactedAntiCaptureReforms,directionalScore,captureControl,representation,reformFeasibility,captureRate,captureRateLower95,captureRateUpper95,antiCaptureSuccess,antiCaptureSuccessLower95,antiCaptureSuccessUpper95,avgCaptureIndex,avgPublicInterest,publicPreferenceDistortion,privateGainRatio,lobbySpendPerContest,clientFundingPerContest,donorInfluenceGini,averageDisclosureLag,defensiveReformSpendShare,captureReturnOnSpend,publicBenefitPerInfluenceDollar,directAccessShare,agendaAccessShare,informationDistortionShare,publicCampaignShare,litigationThreatShare,campaignFinanceShare,darkMoneyShare,revolvingDoorShare,defensiveChannelShare,detectionRate,sanctionRate,policyDistortion,regulatoryDrift,enforcementForbearance,procurementBias,darkMoneyTraceability,darkMoneyDirectVisibility,largeDonorDependence,voucherParticipation,voucherResidentParticipation,publicFinancingShare,publicFinancingCandidateUptake,revolvingDoorInfluence,commentRecordDistortion,commentAuthenticity,templateCommentSaturation,commentUniqueInformationShare,commentReviewBurden,commentProceduralAckRate,commentSubstantiveUptake,commentCompressionRate,technicalClaimCredibility,channelSwitchRate,evasionShiftRate,evasionPenaltyRate,substitutionPressure,influencePreservationRate,hiddenInfluenceShare,netTransparencyGain,messengerSubstitutionRate,venueSubstitutionRate,clientFundingAdaptation,regulatorAttentionIndex,regulatorQueueBacklog,watchdogFocusIndex,watchdogBudgetConcentration,adaptationSpeed,reformDecayPressure,legitimateAdvocacyChill,constitutionalChallengeDelay,administrativeCost
2026-05-05T00:00:00Z,242,40,80,"ablation-full-bundle","Ablation baseline full bundle",3200,0,876,876,0.6500,0.7666,0.5316,0.6518,0.0000,0.0000,0.0012,1.0000,0.9956,1.0000,0.2216,0.5124,0.1147,1.2064,0.1297,0.0869,0.1902,0.5323,0.5083,1.7080,4.3964,0.0784,0.0986,0.2808,0.1614,0.1012,0.0486,0.1267,0.0535,0.0508,0.1666,0.0103,0.0331,0.0049,0.0028,0.0020,0.6728,0.0000,0.6640,0.6400,0.0528,0.6200,0.5594,0.0001,0.0044,0.6727,0.3162,0.1519,0.1946,0.7242,0.3021,0.4305,0.5774,1.9950,0.9381,0.0000,0.3400,0.3460,0.1319,0.2999,0.1410,0.1127,0.8474,0.4210,0.4803,0.3153,0.1407,0.0233,0.1151,0.0853,0.0000,0.4739
2026-05-05T00:00:00Z,242,40,80,"ablation-no-enforcement","No enforcement",3200,13,921,921,0.6490,0.7568,0.5334,0.6568,0.0041,0.0024,0.0069,1.0000,0.9958,1.0000,0.2168,0.5149,0.1130,1.1824,0.1318,0.0876,0.1796,0.5292,0.5195,1.6459,4.3485,0.0656,0.0904,0.1200,0.1712,0.1071,0.0748,0.2738,0.0452,0.0519,0.0438,0.0003,0.0392,0.0054,0.0045,0.0028,0.6728,0.0000,0.6638,0.6400,0.0528,0.6200,0.5594,0.0000,0.0045,0.6740,0.3131,0.1528,0.2019,0.7213,0.3002,0.4101,0.5782,2.1066,1.9106,0.0000,0.3630,0.3931,0.1435,0.1818,0.1503,0.1203,0.8552,0.3931,0.4714,0.3153,0.1448,0.0216,0.1210,0.0636,0.0000,0.3531
2026-05-05T00:00:00Z,242,40,80,"ablation-no-beneficial-owner-disclosure","No beneficial-owner disclosure",3200,0,864,863,0.6517,0.7558,0.5291,0.6702,0.0000,0.0000,0.0012,0.9988,0.9935,0.9998,0.2233,0.5100,0.1170,1.2167,0.1312,0.0963,0.2114,0.5342,0.4977,1.7026,4.3358,0.0775,0.0983,0.2785,0.1449,0.1006,0.0500,0.1471,0.0533,0.0498,0.1759,0.0125,0.0354,0.0048,0.0030,0.0021,0.6260,0.0000,0.6641,0.6400,0.0528,0.6200,0.5593,0.0001,0.0043,0.6732,0.3151,0.1520,0.1945,0.7247,0.3015,0.4290,0.5768,2.0944,1.1700,0.0000,0.3431,0.3678,0.2045,0.1934,0.1685,0.1305,0.8466,0.4210,0.4780,0.3153,0.1384,0.0236,0.1135,0.0755,0.0000,0.4196
2026-05-05T00:00:00Z,242,40,80,"ablation-no-public-financing","No public financing or vouchers",3200,0,899,898,0.6374,0.7662,0.4762,0.6699,0.0000,0.0000,0.0012,0.9989,0.9937,0.9998,0.2220,0.5100,0.1223,1.2222,0.1309,0.0865,0.2017,0.5322,0.5098,1.6961,4.3535,0.0779,0.0983,0.2676,0.1610,0.1013,0.0566,0.1330,0.0532,0.0510,0.1506,0.0128,0.0377,0.0050,0.0029,0.0022,0.6728,0.0000,0.6640,0.0000,0.0080,0.0000,0.0738,0.0001,0.0042,0.6740,0.3129,0.1525,0.1957,0.7253,0.3008,0.4262,0.5768,2.0003,0.9356,0.0000,0.3314,0.3407,0.1280,0.2989,0.1372,0.0971,0.8448,0.4125,0.4710,0.3153,0.1400,0.0231,0.1181,0.0719,0.0000,0.3992
2026-05-05T00:00:00Z,242,40,80,"ablation-no-cooling-off","No cooling-off rules",3200,0,875,875,0.6536,0.7672,0.5302,0.6634,0.0000,0.0000,0.0012,1.0000,0.9956,1.0000,0.2215,0.5118,0.1163,1.2026,0.1307,0.0861,0.1964,0.5315,0.5033,1.6954,4.3640,0.0938,0.1017,0.2650,0.1617,0.1006,0.0499,0.1215,0.0554,0.0503,0.1575,0.0097,0.0347,0.0048,0.0030,0.0021,0.6728,0.0000,0.6640,0.6400,0.0528,0.6200,0.5594,0.0002,0.0043,0.6724,0.3172,0.1500,0.1939,0.7250,0.2984,0.4319,0.5668,1.8881,0.8231,0.0000,0.3299,0.3426,0.1269,0.3038,0.1367,0.1005,0.8478,0.4160,0.4771,0.3153,0.1414,0.0232,0.1149,0.0769,0.0000,0.4272
2026-05-05T00:00:00Z,242,40,80,"ablation-no-anti-astroturf","No anti-astroturf authentication",3200,0,893,893,0.6539,0.7702,0.5310,0.6605,0.0000,0.0000,0.0012,1.0000,0.9957,1.0000,0.2197,0.5115,0.1130,1.2018,0.1314,0.0865,0.1831,0.5282,0.4988,1.6716,4.3271,0.0659,0.0903,0.1259,0.1864,0.1042,0.0731,0.2591,0.0453,0.0499,0.1566,0.0075,0.0350,0.0045,0.0029,0.0023,0.6728,0.0000,0.6639,0.6400,0.0528,0.6200,0.5594,0.0000,0.0056,0.6318,0.3221,0.1495,0.2387,0.7125,0.2860,0.3648,0.5746,1.9191,1.6056,0.0000,0.2847,0.3255,0.1053,0.3172,0.1177,0.0944,0.8513,0.4196,0.4871,0.3153,0.1405,0.0231,0.1173,0.0785,0.0000,0.4362
2026-05-05T00:00:00Z,242,40,80,"ablation-no-public-advocate-blind-review","No public advocate or blind review",3200,71,928,915,0.6557,0.7691,0.5182,0.6799,0.0222,0.0176,0.0279,0.9860,0.9762,0.9918,0.2177,0.5040,0.1155,1.1827,0.1335,0.0861,0.1832,0.5297,0.5160,1.6312,4.2873,0.0663,0.0906,0.1232,0.1874,0.1065,0.0733,0.2554,0.0454,0.0519,0.1838,0.0266,0.0558,0.0106,0.0082,0.0076,0.6728,0.0000,0.6640,0.6400,0.0528,0.6200,0.5594,0.0000,0.0050,0.6716,0.3191,0.1511,0.3027,0.7179,0.2009,0.3926,0.5772,1.9338,1.5625,0.0000,0.2854,0.3222,0.1060,0.3106,0.1179,0.0946,0.8402,0.4394,0.4772,0.3153,0.1639,0.0263,0.1226,0.0708,0.0000,0.3935
