generatedAt,seed,runs,contestsPerRun,scenarioKey,scenarioName,totalContests,capturedContests,antiCaptureReforms,enactedAntiCaptureReforms,directionalScore,captureControl,representation,reformFeasibility,captureRate,captureRateLower95,captureRateUpper95,antiCaptureSuccess,antiCaptureSuccessLower95,antiCaptureSuccessUpper95,observedCaptureRate,hiddenCaptureIndex,totalInfluenceDistortion,substitutionRisk,designLoss,distortionObservedComponent,distortionHiddenSubstitutionComponent,distortionInformationProcurementComponent,distortionNetworkVenueComponent,distortionProcessBurdenComponent,distortionRawComponentSum,captureRateSeedStdDev,hiddenInfluenceSeedStdDev,totalInfluenceDistortionSeedStdDev,avgCaptureIndex,avgPublicInterest,publicPreferenceDistortion,privateGainRatio,lobbySpendPerContest,clientFundingPerContest,donorInfluenceGini,averageDisclosureLag,defensiveReformSpendShare,captureReturnOnSpend,publicBenefitPerInfluenceDollar,visibleLobbyingSpendShare,directAccessShare,agendaAccessShare,informationDistortionShare,publicCampaignShare,litigationThreatShare,campaignFinanceShare,darkMoneyShare,revolvingDoorShare,intermediaryShare,defensiveChannelShare,detectionRate,sanctionRate,enforcementCapacityIndex,policyDistortion,regulatoryDrift,enforcementForbearance,procurementBias,darkMoneyTraceability,darkMoneyDirectVisibility,largeDonorDependence,voucherParticipation,voucherResidentParticipation,publicFinancingShare,publicFinancingCandidateUptake,revolvingDoorInfluence,commentRecordDistortion,commentAuthenticity,templateCommentSaturation,commentUniqueInformationShare,commentReviewBurden,commentProceduralAckRate,commentSubstantiveUptake,commentCompressionRate,commentFloodingIndex,technicalClaimCredibility,technicalRulemakingDistortion,channelSwitchRate,evasionShiftRate,evasionPenaltyRate,substitutionPressure,influencePreservationRate,hiddenInfluenceShare,netTransparencyGain,messengerSubstitutionRate,venueSubstitutionRate,clientFundingAdaptation,regulatorAttentionIndex,regulatorQueueBacklog,watchdogFocusIndex,watchdogBudgetConcentration,adaptationSpeed,reformDecayPressure,legitimateAdvocacyChill,constitutionalChallengeDelay,administrativeCost,networkOpacityIndex,donorNetworkConcentration,intermediaryCentrality,officialAccessCentrality,procurementNetworkExposure,revolvingDoorBridgeIndex,commentNetworkLoad,venueShiftNetworkLoad,networkLegibilityIndex,crossVenueDetectionIndex,participationProtectionIndex,speechRestrictionRisk
2026-05-05T00:00:00Z,42,40,80,"audit-and-sanctions","Audit and sanctions",3200,1972,338,328,0.6351,0.7100,0.4412,0.6687,0.6163,0.5993,0.6330,0.9704,0.9464,0.9839,0.6163,0.0807,0.3002,0.1746,0.2008,0.1397,0.0514,0.0564,0.0410,0.0116,0.3002,0.0591,0.0077,0.0164,0.2570,0.4996,0.1014,1.2719,0.3054,0.0898,0.4859,0.3433,0.2839,0.8414,1.8222,0.4070,0.0684,0.0820,0.1028,0.1975,0.0743,0.0590,0.1776,0.1177,0.0911,0.0294,0.4209,0.0263,0.5517,0.2500,0.2157,0.0663,0.0981,0.5802,0.0000,0.5362,0.0400,0.0108,0.2584,0.1526,0.0016,0.0056,0.6014,0.3693,0.1359,0.1929,0.7024,0.2467,0.5835,0.2476,0.5611,0.1799,1.4828,1.5772,0.0000,0.3212,0.3245,0.1483,0.2735,0.1101,0.0284,0.9655,0.7476,0.6492,0.3153,0.2426,0.0618,0.0450,0.1146,0.0000,0.3820,0.4698,0.4310,0.3104,0.3066,0.2649,0.3746,0.2145,0.1652,0.5302,0.4560,0.2084,0.1203
2026-05-05T00:00:00Z,42,40,80,"hard-lobbying-budgets","Hard lobbying budgets",3200,2597,378,371,0.5888,0.6648,0.4544,0.5941,0.8116,0.7976,0.8247,0.9815,0.9623,0.9910,0.8116,0.1599,0.3820,0.2851,0.2820,0.1701,0.0881,0.0642,0.0455,0.0141,0.3820,0.0519,0.0227,0.0188,0.2518,0.5042,0.1000,1.2521,0.3758,0.1154,0.4840,0.3183,0.2488,0.6701,1.4895,0.3324,0.0475,0.0750,0.1449,0.1574,0.0724,0.0525,0.2280,0.0425,0.1549,0.0249,0.3975,0.0188,0.4353,0.3135,0.2499,0.0878,0.1012,0.6562,0.0000,0.5362,0.0800,0.0136,0.3035,0.1974,0.0007,0.0055,0.6205,0.3776,0.1340,0.1854,0.7335,0.2486,0.6025,0.2433,0.5641,0.1832,1.5591,2.1794,0.0000,0.4439,0.3894,0.3660,0.2220,0.1943,0.1380,0.9971,0.7862,0.6551,0.3153,0.2432,0.0698,0.0501,0.2247,0.0000,0.4423,0.4486,0.4372,0.3764,0.2228,0.2588,0.2811,0.2105,0.2829,0.5514,0.5702,0.2664,0.4326
2026-05-05T00:00:00Z,42,40,80,"public-interest-representation-funds","Public-interest representation funds",3200,2211,456,376,0.6502,0.6628,0.5043,0.7377,0.6909,0.6747,0.7067,0.8246,0.7870,0.8567,0.6909,0.1136,0.3355,0.2269,0.2098,0.1514,0.0676,0.0685,0.0387,0.0094,0.3355,0.0429,0.0118,0.0128,0.2553,0.5184,0.1558,1.1843,0.4436,0.1023,0.5205,0.3477,0.3014,0.5756,1.3538,0.4222,0.0524,0.0764,0.1100,0.2294,0.0752,0.0640,0.2293,0.0432,0.0880,0.0320,0.3216,0.0097,0.3343,0.3168,0.3380,0.0397,0.0317,0.5957,0.0000,0.5364,0.5200,0.0444,0.5331,0.4726,0.0007,0.0121,0.5997,0.4207,0.1229,0.1470,0.7017,0.3100,0.6823,0.2379,0.5592,0.4081,1.6131,1.7100,0.0000,0.3769,0.3771,0.2270,0.1700,0.1495,0.0679,1.0144,0.6285,0.5829,0.3153,0.2868,0.0544,0.0645,0.0463,0.0000,0.3491,0.4896,0.4971,0.3403,0.2555,0.0745,0.3267,0.4302,0.2216,0.5104,0.3980,0.5926,0.0924
2026-05-05T00:00:00Z,42,40,80,"randomized-audit-sanctions","Randomized audit and sanctions",3200,1726,351,348,0.6366,0.7190,0.4438,0.6673,0.5394,0.5221,0.5566,0.9915,0.9752,0.9971,0.5394,0.0940,0.2897,0.1952,0.2058,0.1269,0.0581,0.0516,0.0410,0.0120,0.2897,0.0508,0.0068,0.0131,0.2536,0.5015,0.1015,1.2554,0.2573,0.0957,0.4843,0.3368,0.2993,0.9858,2.1671,0.3991,0.0615,0.0799,0.1049,0.1968,0.0744,0.0610,0.2052,0.0954,0.0909,0.0301,0.4716,0.0444,0.6238,0.2204,0.1945,0.0575,0.0830,0.6073,0.0000,0.5362,0.0600,0.0122,0.2735,0.1682,0.0010,0.0053,0.6135,0.3592,0.1397,0.1864,0.7114,0.2603,0.5836,0.2411,0.5675,0.1833,1.6806,1.9809,0.0000,0.3440,0.3259,0.1996,0.3102,0.1338,0.0390,0.9273,0.7327,0.6518,0.3153,0.2443,0.0601,0.0463,0.1337,0.0000,0.4291,0.4682,0.4382,0.3240,0.2791,0.2290,0.3480,0.2142,0.1905,0.5318,0.5412,0.2394,0.1441
2026-05-05T00:00:00Z,42,40,80,"machine-readable-meeting-logs","Machine-readable meeting logs",3200,2187,0,0,0.6320,0.6511,0.4263,0.6919,0.6834,0.6671,0.6993,0.0000,0.0000,0.0000,0.6834,0.1132,0.3289,0.2128,0.1881,0.1533,0.0713,0.0525,0.0351,0.0168,0.3289,0.0482,0.0088,0.0110,0.2746,0.4753,0.1177,1.2813,0.4461,0.1167,0.4725,0.3670,0.0000,0.6155,1.1858,0.4231,0.0438,0.0700,0.1100,0.2431,0.0400,0.0662,0.2944,0.0400,0.0925,0.0000,0.4259,0.0138,0.3388,0.2529,0.2067,0.1702,0.0276,0.7233,0.0000,0.5359,0.0300,0.0101,0.2952,0.1381,0.0008,0.0073,0.6822,0.2715,0.1608,0.2466,0.7016,0.2534,0.4395,0.2436,0.5865,0.1999,2.5097,4.1091,0.0000,0.4490,0.4025,0.2457,0.4581,0.1755,0.0526,1.1079,0.5296,0.4048,0.3152,0.3684,0.0261,0.0000,0.0933,0.0000,0.3281,0.3114,0.4099,0.3395,0.1553,0.2182,0.3457,0.2246,0.1967,0.6886,0.6684,0.2546,0.1077
2026-05-05T00:00:00Z,42,40,80,"hard-budget-substitution-stress","Hard-budget substitution stress",3200,2279,899,752,0.5715,0.6398,0.4445,0.5875,0.7122,0.6963,0.7276,0.8365,0.8109,0.8592,0.7122,0.2127,0.3862,0.3503,0.3070,0.1501,0.1053,0.0671,0.0490,0.0147,0.3862,0.0476,0.0380,0.0218,0.2259,0.5049,0.1229,1.2451,0.4833,0.1390,0.4776,0.4125,0.5415,0.4674,1.1783,0.3587,0.0562,0.0808,0.1308,0.1660,0.1025,0.0557,0.1835,0.0454,0.1248,0.0541,0.3453,0.0153,0.4125,0.3467,0.1837,0.1007,0.1015,0.5054,0.4096,0.6253,0.0800,0.0136,0.3187,0.1831,0.0006,0.0044,0.6348,0.3416,0.1441,0.2195,0.7299,0.2438,0.5472,0.2487,0.5723,0.1491,2.0784,2.1075,0.0000,0.3843,0.3491,0.5050,0.0432,0.2189,0.1748,0.9943,0.7278,0.5949,0.3153,0.2345,0.0675,0.1266,0.2225,0.0000,0.4315,0.4934,0.4183,0.3730,0.2244,0.2522,0.3032,0.1719,0.3510,0.5066,0.5702,0.2664,0.4326
2026-05-05T00:00:00Z,42,40,80,"shadow-lobbying-maximum-stress","Shadow lobbying maximum stress",3200,1813,1371,1330,0.5727,0.6508,0.4383,0.5770,0.5666,0.5493,0.5836,0.9701,0.9597,0.9779,0.5666,0.2097,0.3528,0.3304,0.2907,0.1257,0.0944,0.0665,0.0505,0.0158,0.3528,0.0470,0.0392,0.0233,0.2190,0.4661,0.1713,1.5478,0.3504,0.1448,0.4409,0.4690,0.4288,0.6251,1.5540,0.3486,0.0529,0.0786,0.1364,0.1628,0.0909,0.0544,0.2001,0.0443,0.1367,0.0429,0.2691,0.0138,0.4092,0.3400,0.1433,0.1230,0.1299,0.5571,0.4141,0.5981,0.0800,0.0136,0.3527,0.1875,0.0006,0.0035,0.6547,0.2873,0.1588,0.2218,0.7183,0.2566,0.4633,0.2395,0.5835,0.1163,3.2509,3.1350,0.0000,0.3124,0.2850,0.4455,0.0055,0.1837,0.1616,0.9797,0.6354,0.5223,0.3153,0.2970,0.0543,0.1825,0.2203,0.0000,0.4205,0.4792,0.3459,0.3839,0.2310,0.3117,0.3151,0.1197,0.3471,0.5208,0.5702,0.2664,0.4326
2026-05-05T00:00:00Z,42,40,80,"visible-ban-dark-money-leakage","Visible lobbying ban with dark-money leakage",3200,2146,1036,1028,0.5637,0.6339,0.4261,0.5882,0.6706,0.6541,0.6867,0.9923,0.9848,0.9961,0.6706,0.2352,0.3859,0.3682,0.3144,0.1490,0.1106,0.0665,0.0485,0.0114,0.3859,0.0546,0.0447,0.0257,0.2604,0.4372,0.2006,1.7506,0.6694,0.1723,0.4620,0.4690,0.2544,0.3890,0.7784,0.3329,0.0476,0.0751,0.1426,0.1567,0.0726,0.0535,0.2331,0.0425,0.1508,0.0254,0.3431,0.0166,0.4206,0.3846,0.1697,0.0474,0.0379,0.5361,0.4150,0.6103,0.0800,0.0136,0.3528,0.1856,0.0012,0.0054,0.6627,0.2850,0.1578,0.2352,0.7442,0.2455,0.4653,0.2430,0.5912,0.1387,3.1703,3.7575,0.0000,0.3779,0.3450,0.5301,0.0028,0.2285,0.1807,0.9990,0.5874,0.4482,0.3152,0.3446,0.0477,0.1367,0.2215,0.0000,0.4264,0.5007,0.3852,0.3890,0.2250,0.1932,0.2928,0.1460,0.3673,0.4993,0.5702,0.2664,0.4326
2026-05-05T00:00:00Z,42,40,80,"opaque-network-substitution-frontier","Opaque network substitution frontier",3200,1809,1382,1335,0.6227,0.6652,0.4272,0.6723,0.5653,0.5481,0.5824,0.9660,0.9551,0.9743,0.5653,0.1739,0.3222,0.2843,0.2132,0.1233,0.0818,0.0640,0.0402,0.0128,0.3222,0.0529,0.0382,0.0235,0.2055,0.4898,0.1623,1.3140,0.2709,0.1369,0.4831,0.4390,0.4290,0.7584,2.0988,0.4056,0.0548,0.0786,0.1100,0.2084,0.0872,0.0638,0.2224,0.0443,0.0876,0.0429,0.2741,0.0078,0.2884,0.3251,0.1362,0.1141,0.0300,0.5690,0.4681,0.6231,0.0300,0.0101,0.2849,0.1241,0.0003,0.0071,0.6749,0.2854,0.1600,0.2939,0.7349,0.2383,0.4542,0.2640,0.5895,0.2433,2.6828,1.6769,0.0000,0.2947,0.2767,0.3734,0.1028,0.1781,0.0867,0.9620,0.5896,0.5410,0.3153,0.2716,0.0476,0.1842,0.0876,0.0000,0.2996,0.3866,0.4180,0.3513,0.1621,0.1868,0.3515,0.2539,0.2857,0.6134,0.6684,0.2546,0.1077
2026-05-05T00:00:00Z,42,40,80,"meeting-log-intermediary-leakage","Meeting-log intermediary leakage",3200,2185,1004,931,0.6133,0.6403,0.4218,0.6811,0.6828,0.6665,0.6987,0.9273,0.9095,0.9418,0.6828,0.2007,0.3814,0.3093,0.2411,0.1500,0.0949,0.0781,0.0437,0.0147,0.3814,0.0467,0.0359,0.0208,0.2547,0.4347,0.1727,1.6733,0.4716,0.1501,0.4603,0.4390,0.3177,0.5401,1.0745,0.3866,0.0595,0.0795,0.1059,0.1856,0.0760,0.0620,0.2230,0.0855,0.0913,0.0318,0.3441,0.0128,0.3062,0.3822,0.1714,0.1403,0.1532,0.5957,0.4667,0.6078,0.0300,0.0101,0.2826,0.1265,0.0017,0.0071,0.6385,0.3791,0.1336,0.2303,0.7459,0.2412,0.5983,0.2583,0.5645,0.2152,2.5859,2.1994,0.0000,0.3530,0.3246,0.4311,0.1388,0.2006,0.1104,1.0195,0.6379,0.6027,0.3153,0.3003,0.0567,0.1361,0.0905,0.0000,0.3142,0.3766,0.3754,0.3335,0.1925,0.3230,0.3997,0.2220,0.2975,0.6234,0.6684,0.2546,0.1077
