generatedAt,seed,runs,contestsPerRun,scenarioKey,scenarioName,totalContests,capturedContests,antiCaptureReforms,enactedAntiCaptureReforms,directionalScore,captureControl,representation,reformFeasibility,captureRate,captureRateLower95,captureRateUpper95,antiCaptureSuccess,antiCaptureSuccessLower95,antiCaptureSuccessUpper95,observedCaptureRate,hiddenCaptureIndex,totalInfluenceDistortion,substitutionRisk,captureRateSeedStdDev,hiddenInfluenceSeedStdDev,totalInfluenceDistortionSeedStdDev,avgCaptureIndex,avgPublicInterest,publicPreferenceDistortion,privateGainRatio,lobbySpendPerContest,clientFundingPerContest,donorInfluenceGini,averageDisclosureLag,defensiveReformSpendShare,captureReturnOnSpend,publicBenefitPerInfluenceDollar,visibleLobbyingSpendShare,directAccessShare,agendaAccessShare,informationDistortionShare,publicCampaignShare,litigationThreatShare,campaignFinanceShare,darkMoneyShare,revolvingDoorShare,intermediaryShare,defensiveChannelShare,detectionRate,sanctionRate,enforcementCapacityIndex,policyDistortion,regulatoryDrift,enforcementForbearance,procurementBias,darkMoneyTraceability,darkMoneyDirectVisibility,largeDonorDependence,voucherParticipation,voucherResidentParticipation,publicFinancingShare,publicFinancingCandidateUptake,revolvingDoorInfluence,commentRecordDistortion,commentAuthenticity,templateCommentSaturation,commentUniqueInformationShare,commentReviewBurden,commentProceduralAckRate,commentSubstantiveUptake,commentCompressionRate,commentFloodingIndex,technicalClaimCredibility,technicalRulemakingDistortion,channelSwitchRate,evasionShiftRate,evasionPenaltyRate,substitutionPressure,influencePreservationRate,hiddenInfluenceShare,netTransparencyGain,messengerSubstitutionRate,venueSubstitutionRate,clientFundingAdaptation,regulatorAttentionIndex,regulatorQueueBacklog,watchdogFocusIndex,watchdogBudgetConcentration,adaptationSpeed,reformDecayPressure,legitimateAdvocacyChill,constitutionalChallengeDelay,administrativeCost,networkOpacityIndex,donorNetworkConcentration,intermediaryCentrality,officialAccessCentrality,procurementNetworkExposure,revolvingDoorBridgeIndex,commentNetworkLoad,venueShiftNetworkLoad,networkLegibilityIndex,crossVenueDetectionIndex,participationProtectionIndex,speechRestrictionRisk
2026-05-05T00:00:00Z,542,40,80,"comparison-visible-scalar","Single-channel visible lobbying",3200,0,1267,1266,0.7170,0.8244,0.5532,0.6442,0.0000,0.0000,0.0012,0.9992,0.9955,0.9999,0.0000,0.0138,0.0742,0.0414,0.0000,0.0000,0.0017,0.1697,0.5628,0.0895,0.8857,0.5650,0.0967,0.4571,0.2679,0.8024,0.3003,1.0891,0.5186,0.1984,0.1275,0.0883,0.1444,0.1204,0.0481,0.0883,0.0401,0.0642,0.0802,0.0991,0.0016,0.5620,0.0303,0.0085,0.0015,0.0070,0.7069,0.0000,0.5360,0.6400,0.0528,0.6659,0.5798,0.0000,0.0031,0.6811,0.2945,0.1429,0.1563,0.7483,0.2849,0.5183,0.2102,0.4905,0.1489,1.5838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3788,0.2361,0.3153,0.1250,0.0000,0.0000,0.1443,0.0000,0.4889,0.0724,0.3123,0.1904,0.5128,0.1725,0.2259,0.0481,0.0246,0.9276,0.7538,0.6696,0.2701
2026-05-05T00:00:00Z,542,40,80,"comparison-multichannel-no-substitution","Multi-channel without substitution",3200,0,1195,1192,0.7020,0.8210,0.5478,0.6441,0.0000,0.0000,0.0012,0.9975,0.9926,0.9991,0.0000,0.0131,0.0906,0.0603,0.0000,0.0000,0.0032,0.1747,0.5593,0.0907,0.9109,0.5424,0.1641,0.4589,0.3950,0.7890,0.3220,1.1280,0.4211,0.0869,0.0984,0.1142,0.1673,0.1373,0.0684,0.1058,0.0627,0.0800,0.0789,0.0991,0.0016,0.5625,0.0302,0.0115,0.0016,0.0052,0.6184,0.5534,0.6192,0.6400,0.0528,0.6628,0.5665,0.0003,0.0032,0.6780,0.3037,0.1562,0.1557,0.7493,0.3146,0.5338,0.2115,0.5839,0.1484,1.4938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3788,0.2361,0.3153,0.1250,0.0000,0.0000,0.1444,0.0000,0.4898,0.3156,0.3622,0.2761,0.2889,0.1606,0.2409,0.0945,0.1525,0.6844,0.7538,0.6696,0.2701
2026-05-05T00:00:00Z,542,40,80,"comparison-multichannel-substitution","Multi-channel with substitution",3200,1631,1241,1241,0.6508,0.7001,0.5274,0.6833,0.5097,0.4924,0.5270,1.0000,0.9969,1.0000,0.5097,0.1746,0.2936,0.3072,0.0542,0.0371,0.0206,0.1694,0.5635,0.0886,0.8905,0.1662,0.1295,0.4729,0.3988,0.5376,1.0190,3.7006,0.3992,0.0575,0.0808,0.1328,0.2075,0.1024,0.0535,0.1407,0.0454,0.1257,0.0538,0.3606,0.0266,0.5192,0.2018,0.1445,0.0572,0.0572,0.6130,0.5531,0.6236,0.6400,0.0528,0.6645,0.5658,0.0001,0.0031,0.6803,0.2985,0.1569,0.1744,0.7510,0.3076,0.5264,0.2172,0.5816,0.1402,2.4756,1.5981,0.0000,0.3558,0.2829,0.4359,0.1220,0.1972,0.1725,0.9097,0.7177,0.5983,0.3153,0.2388,0.0541,0.1630,0.1489,0.0000,0.5118,0.3627,0.4031,0.3626,0.2065,0.1418,0.1968,0.1280,0.2957,0.6373,0.7538,0.6696,0.2701
