report,scenarioKey,scenarioName,baselineScenarioKey,status,warningScore,designLoss,observedCaptureDelta,hiddenInfluenceDelta,hiddenCaptureDelta,totalInfluenceDistortionDelta,substitutionRiskDelta,visibleLobbyingSpendShareDelta,networkOpacityDelta,venueShiftNetworkLoadDelta,intermediaryCentralityDelta,procurementNetworkExposureDelta,revolvingDoorBridgeDelta,commentNetworkLoadDelta,intermediarySpendShare,darkMoneySpendShare,defensiveReformSpendShare,administrativeCost
lobby-capture-sensitivity.csv,sensitivity-enforcement-0-10,Sensitivity enforcement 0.10,sensitivity-evasion-0-90,improved,0.1681,0.1820,-0.1681,-0.2526,-0.0787,-0.0735,-0.1026,-0.0113,-0.0775,-0.1007,0.0042,0.0118,-0.0195,-0.0023,0.1368,0.1482,0.4264,0.4906
lobby-capture-sensitivity.csv,sensitivity-disclosure-0-10,Sensitivity disclosure 0.10,sensitivity-evasion-0-90,visible_channel_warning,0.0048,0.2725,0.0762,-0.1826,-0.0498,0.0048,-0.0506,-0.0990,0.2519,-0.0508,-0.0358,0.0048,-0.0203,-0.0185,0.0911,0.1156,0.4302,0.5000
lobby-capture-sensitivity.csv,sensitivity-public-financing-0-10,Sensitivity public financing 0.10,sensitivity-evasion-0-90,improved,0.4233,0.1430,-0.4233,-0.3208,-0.1132,-0.1498,-0.1557,-0.0171,-0.0883,-0.1605,0.0056,0.0118,-0.0185,-0.0082,0.1323,0.1487,0.4903,0.5002
lobby-capture-sensitivity.csv,sensitivity-cooling-off-0-10,Sensitivity cooling off 0.10,sensitivity-evasion-0-90,channel_shift_tradeoff,0.4657,0.1295,-0.4657,-0.3278,-0.1170,-0.1628,-0.1607,-0.0204,-0.0903,-0.1664,0.0051,0.0155,0.1912,-0.0056,0.1343,0.1447,0.4961,0.4996
lobby-capture-sensitivity.csv,sensitivity-enforcement-0-35,Sensitivity enforcement 0.35,sensitivity-evasion-0-90,improved,0.2638,0.1668,-0.2638,-0.2724,-0.0895,-0.1017,-0.1175,-0.0136,-0.0807,-0.1169,0.0051,0.0080,-0.0181,-0.0073,0.1347,0.1467,0.4581,0.4942
lobby-capture-sensitivity.csv,sensitivity-disclosure-0-35,Sensitivity disclosure 0.35,sensitivity-evasion-0-90,channel_shift_tradeoff,0.0281,0.2418,-0.0281,-0.2196,-0.0681,-0.0272,-0.0764,-0.0612,0.1964,-0.0496,0.0213,0.0143,-0.0149,-0.0032,0.1597,0.1612,0.4266,0.5022
lobby-capture-sensitivity.csv,sensitivity-public-financing-0-35,Sensitivity public financing 0.35,sensitivity-evasion-0-90,improved,0.4343,0.1398,-0.4343,-0.3212,-0.1134,-0.1533,-0.1551,-0.0202,-0.0888,-0.1584,0.0068,0.0180,-0.0180,-0.0082,0.1335,0.1496,0.4908,0.4999
lobby-capture-sensitivity.csv,sensitivity-cooling-off-0-35,Sensitivity cooling off 0.35,sensitivity-evasion-0-90,channel_shift_tradeoff,0.4576,0.1312,-0.4576,-0.3243,-0.1155,-0.1602,-0.1577,-0.0260,-0.0882,-0.1614,0.0091,0.0170,0.1321,-0.0053,0.1366,0.1473,0.4989,0.4992
lobby-capture-sensitivity.csv,sensitivity-enforcement-0-80,Sensitivity enforcement 0.80,sensitivity-evasion-0-90,improved,0.4133,0.1439,-0.4133,-0.2980,-0.1047,-0.1424,-0.1391,-0.0235,-0.0844,-0.1391,0.0086,0.0151,-0.0182,-0.0037,0.1373,0.1480,0.4795,0.4985
lobby-capture-sensitivity.csv,sensitivity-disclosure-0-80,Sensitivity disclosure 0.80,sensitivity-evasion-0-90,channel_shift_tradeoff,0.3548,0.1663,-0.3548,-0.2866,-0.1004,-0.1223,-0.1284,-0.0578,0.0116,-0.1158,0.0207,0.0142,-0.0160,-0.0016,0.1510,0.1634,0.4691,0.5008
lobby-capture-sensitivity.csv,sensitivity-public-financing-0-80,Sensitivity public financing 0.80,sensitivity-evasion-0-90,improved,0.4500,0.1353,-0.4500,-0.3167,-0.1123,-0.1575,-0.1520,-0.0212,-0.0892,-0.1544,0.0081,0.0130,-0.0185,-0.0086,0.1351,0.1466,0.4912,0.4993
lobby-capture-sensitivity.csv,sensitivity-cooling-off-0-80,Sensitivity cooling off 0.80,sensitivity-evasion-0-90,channel_shift_tradeoff,0.4667,0.1331,-0.4667,-0.3132,-0.1122,-0.1595,-0.1513,-0.0227,-0.0883,-0.1543,0.0077,0.0054,0.0263,0.0024,0.1354,0.1467,0.4945,0.4993
lobby-capture-sensitivity.csv,sensitivity-enforcement-1-25,Sensitivity enforcement 1.25,sensitivity-evasion-0-90,improved,0.5062,0.1362,-0.5062,-0.3305,-0.1192,-0.1734,-0.1628,-0.0265,-0.0910,-0.1655,0.0095,0.0032,-0.0183,-0.0075,0.1354,0.1465,0.5138,0.6147
lobby-capture-sensitivity.csv,sensitivity-disclosure-1-25,Sensitivity disclosure 1.25,sensitivity-evasion-0-90,improved,0.5310,0.1173,-0.5310,-0.3461,-0.1235,-0.1840,-0.1737,-0.0290,-0.1717,-0.1815,0.0101,0.0177,-0.0178,-0.0055,0.1367,0.1473,0.5123,0.6149
lobby-capture-sensitivity.csv,sensitivity-public-financing-1-25,Sensitivity public financing 1.25,sensitivity-evasion-0-90,improved,0.4605,0.1456,-0.4605,-0.3117,-0.1111,-0.1569,-0.1486,-0.0264,-0.0879,-0.1486,0.0091,0.0156,-0.0179,-0.0068,0.1364,0.1472,0.5026,0.6146
lobby-capture-sensitivity.csv,sensitivity-cooling-off-1-25,Sensitivity cooling off 1.25,sensitivity-evasion-0-90,improved,0.4471,0.1500,-0.4471,-0.3085,-0.1094,-0.1522,-0.1467,-0.0241,-0.0879,-0.1473,0.0084,0.0114,-0.0716,-0.0078,0.1357,0.1469,0.4982,0.6158
lobby-capture-sensitivity.csv,sensitivity-evasion-0-00,Sensitivity evasion 0.00,sensitivity-evasion-0-90,improved,0.5400,0.0973,-0.5400,-0.4429,-0.1491,-0.2025,-0.2121,-0.0243,-0.1460,-0.2138,0.0047,0.0163,-0.0310,-0.0125,0.1336,0.1443,0.5239,0.4939
lobby-capture-sensitivity.csv,sensitivity-evasion-0-30,Sensitivity evasion 0.30,sensitivity-evasion-0-90,channel_shift_tradeoff,0.4686,0.1292,-0.4686,-0.3312,-0.1171,-0.1626,-0.1596,-0.0244,-0.0970,-0.1626,0.0092,0.0266,-0.0183,-0.0052,0.1368,0.1476,0.4885,0.4998
lobby-capture-sensitivity.csv,sensitivity-evasion-0-60,Sensitivity evasion 0.60,sensitivity-evasion-0-90,improved,0.3076,0.1731,-0.3076,-0.1967,-0.0727,-0.0995,-0.0920,-0.0155,-0.0473,-0.0851,0.0061,0.0184,-0.0186,-0.0037,0.1368,0.1480,0.4464,0.5068
lobby-capture-sensitivity.csv,sensitivity-evasion-0-90,Sensitivity evasion 0.90,sensitivity-evasion-0-90,baseline,0.0000,0.2377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1334,0.1465,0.4072,0.5178
