protestId,piid,uei,agency,filedDate,decisionDate,outcome,issueCodes,sourceUrl,docketNumber,protesterName,awardeeName,notes,candidateOnly,candidateStatus
B-424306,candidate_unreviewed,candidate_unreviewed,Department of the Air Force,candidate_unreviewed,2026-06-18,candidate_unreviewed,jurisdiction,https://www.gao.gov/products/b-424306,B-424306,"DarkStar Intelligence, LLC","Starlo Innovation, LLC","candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=high; manualReviewNeeds=piid_or_uei_linkage;outcome; feedPublishedAt=2026-06-18T17:06:41Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424060.2,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-18,candidate_unreviewed,small-business-status;jurisdiction,https://www.gao.gov/products/b-424060.2,B-424060.2,"Highlight Technologies, Inc.","FedTec, LLC","candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=high; manualReviewNeeds=piid_or_uei_linkage;agency;outcome; feedPublishedAt=2026-06-18T16:29:28Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424316,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-18,candidate_unreviewed,small-business-status,https://www.gao.gov/products/b-424316%2Cb-424316.2,B-424316,Altus Technology Solutions,"VetPride-EMI Maintenance Solutions, LLC","candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=high; manualReviewNeeds=piid_or_uei_linkage;agency;outcome; feedPublishedAt=2026-06-18T14:01:39Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424292,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-16,candidate_unreviewed,small-business-status,https://www.gao.gov/products/b-424292,B-424292,"South Dade Air Conditioning and Refrigeration, Inc.",candidate_unreviewed,"candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=medium; manualReviewNeeds=piid_or_uei_linkage;agency;awardee_or_vendor;outcome; feedPublishedAt=2026-06-16T15:11:03Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424421,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-11,candidate_unreviewed,small-business-status,https://www.gao.gov/products/b-424421%2Cb-424421.2,B-424421,"The Gilchrist Law Firm, P.A.",candidate_unreviewed,"candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=medium; manualReviewNeeds=piid_or_uei_linkage;agency;awardee_or_vendor;outcome; feedPublishedAt=2026-06-11T15:32:01Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424287,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-10,candidate_unreviewed,small-business-status;jurisdiction,https://www.gao.gov/products/b-424287%2Cb-424287.2,B-424287,"TechGlobal, Inc.","Reston Consulting Group, Inc","candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=high; manualReviewNeeds=piid_or_uei_linkage;agency;outcome; feedPublishedAt=2026-06-10T15:19:01Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424349,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-09,candidate_unreviewed,small-business-status;jurisdiction,https://www.gao.gov/products/b-424349%2Cb-424349.2,B-424349,"Servexo Protective Services, Inc.",Valletta Industries,"candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=high; manualReviewNeeds=piid_or_uei_linkage;agency;outcome; feedPublishedAt=2026-06-09T15:46:27Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424508,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-08,candidate_unreviewed,small-business-status,https://www.gao.gov/products/b-424508%2Cb-424509%2Cb-424510,B-424508,"Oready, LLC",candidate_unreviewed,"candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=medium; manualReviewNeeds=piid_or_uei_linkage;agency;awardee_or_vendor;outcome; feedPublishedAt=2026-06-08T18:28:55Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424253,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-08,candidate_unreviewed,small-business-status;jurisdiction,https://www.gao.gov/products/b-424253%2Cb-424253.4,B-424253,Octave Technologies Corporation,candidate_unreviewed,"candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=medium; manualReviewNeeds=piid_or_uei_linkage;agency;awardee_or_vendor;outcome; feedPublishedAt=2026-06-08T17:46:19Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
B-424253.2,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,candidate_unreviewed,2026-06-08,candidate_unreviewed,small-business-status;jurisdiction,https://www.gao.gov/products/b-424253.2%2Cb-424253.3%2Cb-424253.5,B-424253.2,"ID8Spark, LLC",Chags Health,"candidate-only procurement source-surface worklist; does not clear first-wave source-product, procurement-modification, or causal-calibration gates; candidate-only GAO RSS discovery row; reviewPriority=high; manualReviewNeeds=piid_or_uei_linkage;agency;outcome; feedPublishedAt=2026-06-08T17:33:05Z; not estimation ready until agency, filed date, outcome, issue coding, PIID/UEI or reviewed vendor linkage, and source-page details are adjudicated",true,candidate_unreviewed_not_estimation_ready
