docketId,commentId,clusterId,clusterMethod,duplicateScore,isTemplate,technicalContentScore,authenticitySignal,clusterRepresentativeId,reviewer,notes
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0091,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0092,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0093,rg-comment-cluster-2854b9756d6b,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.7008,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0093,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0094,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0095,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0096,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0097,rg-comment-cluster-0a23c3727d9b,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.7233,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0097,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0098,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0099,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0100,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0101,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0102,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0103,rg-comment-cluster-f866a7dfa1c4,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.7175,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0103,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0104,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0105,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0106,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0107,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
