canonicalActorId,primaryName,stateClientKey,stateClientName,lobbyistName,primaryLobbyistId,annualLobbyistRegistrationId,businessType,industryTradeType,sourceDate,reportMonth,reportDueDate,fiscalYear,issueCode,periodStart,periodEnd,venue,activityType,activityMeasure,activityAmount,sourceSystem,sourceRecordId,exposureGroup,reformEventId,activityUnits,jurisdiction,matchConfidence,reviewStatus,evidenceRule,reviewer,reviewDate,sourceUrl,notes
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20065002873,Government,,2007-01-31,January,2007-02-15,2006-2007,co-state-government,2007-01-31,2007-01-31,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20065002873|DENVER DEPARTMENT OF HUMAN SERVICES|2007-01-31|10455,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20065002873,Government,,2007-02-28,February,2007-03-15,2006-2007,co-state-government,2007-02-28,2007-02-28,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20065002873|DENVER DEPARTMENT OF HUMAN SERVICES|2007-02-28|10456,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20065002873,Government,,2007-03-31,March,2007-04-16,2006-2007,co-state-government,2007-03-31,2007-03-31,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20065002873|DENVER DEPARTMENT OF HUMAN SERVICES|2007-03-31|10457,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20065002873,Government,,2007-04-30,April,2007-05-15,2006-2007,co-state-government,2007-04-30,2007-04-30,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20065002873|DENVER DEPARTMENT OF HUMAN SERVICES|2007-04-30|10458,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20065002873,Government,,2007-05-31,May,2007-06-15,2006-2007,co-state-government,2007-05-31,2007-05-31,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20065002873|DENVER DEPARTMENT OF HUMAN SERVICES|2007-05-31|10459,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20065002873,Government,,2007-06-30,June,2007-07-16,2006-2007,co-state-government,2007-06-30,2007-06-30,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20065002873|DENVER DEPARTMENT OF HUMAN SERVICES|2007-06-30|10460,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20075003132,Government,,2007-07-31,July,2007-08-15,2007-2008,co-state-government,2007-07-31,2007-07-31,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20075003132|DENVER DEPARTMENT OF HUMAN SERVICES|2007-07-31|10461,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20075003132,Government,,2007-08-31,August,2007-09-17,2007-2008,co-state-government,2007-08-31,2007-08-31,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20075003132|DENVER DEPARTMENT OF HUMAN SERVICES|2007-08-31|10462,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20075003132,Government,,2007-09-03,September,2007-10-15,2007-2008,co-state-government,2007-09-03,2007-09-03,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20075003132|DENVER DEPARTMENT OF HUMAN SERVICES|2007-09-03|10463,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
co-control-03d646106379,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,DENVER DEPARTMENT OF HUMAN SERVICES,"MOREHEAD, NANCY N.",20065110263,20075003132,Government,,2007-10-31,October,2007-11-15,2007-2008,co-state-government,2007-10-31,2007-10-31,state_lobbying,state_lobbying_income,6021.0000,0.0060,Colorado Secretary of State lobbyist income data,20065110263|20075003132|DENVER DEPARTMENT OF HUMAN SERVICES|2007-10-31|10464,control_unaffected_colorado_state_lobbying_jurisdiction,hloga-2007-federal-lobbying-disclosure,income_dollars; amount_millions,Colorado state,0.7000,reviewed_official_state_lobbying_control_source_row,official-colorado-state-lobbying-income-row-with-observed-prepost-client-coverage,codex-source-audit,2026-07-24,https://data.colorado.gov/Legislative/Professional-Lobbyist-Income-in-Colorado/dxfk-9ifj,official Colorado Secretary of State professional-lobbyist income row; usable as an unaffected-state-jurisdiction control surface for the federal HLOGA shock only; does not prove the client lacks separate federal LDA exposure and does not clear calibrated policy claims
