registrantApiId,clientRelationshipId,filingYear,filingPeriod,canonicalActorId,primaryName,filings,filingUuids,filingTypes,amendmentLabeledFilings,distinctSourceAmounts,postingTimeTie,latestPostingMissingWithEarlierAmount,noActivityNonzero,sourceFingerprint,reviewStatus
11481,1002750,2008,second_quarter,cand-f7178708cc78,AMERICAN ASSOCIATION FOR JUSTICE,2,0470c414-abdd-441f-9b81-2cb54609f9c5;a88bb46c-0654-4a4e-a590-6d957c4d775a,2A;Q2,1,2,false,false,false,e6b09fbde209c33a40988a71a5c68080fd011eeecaf5efefc7df9cbd67e10c4a,candidate_group_not_adjudicated
1182,3262,2006,year_end,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2,2faadfa7-c6a0-4eba-8372-42fa1a285ea9;93264201-87dd-4466-8c4a-22cfc59e6c4c,YA;YY,1,0,false,false,false,93868748c7cb00c81e3f2dc5de07d6bb090ad60d462299ff35028aecb7216465,candidate_group_not_adjudicated
17831,12,2008,second_quarter,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,2,14d71cda-936d-44a9-8181-67471fe7c1b5;71ba6298-4703-421e-93ee-6f5afccb0aa4,Q2;2A,1,1,false,false,false,8f26297d65727ee66f9d4479b52f4d61b09a3e07ae047ec3e0b1bc78d1b70bf8,candidate_group_not_adjudicated
20744,87,2007,year_end,cand-b905d6833296,American Petroleum Institute,3,72c823d6-ded0-46e8-ab3f-63f68432132b;74151b73-e354-42ac-b538-ed0a6221649d;79f0989d-a6e6-41dd-8876-24f2b2d9ed23,YT;YT;YT,0,1,false,false,false,635289a8704b9848e44f854c2f6ea2cbb03581185b587d5ac43637ce8d0e78c0,candidate_group_not_adjudicated
2445,12,2007,year_end,cand-d5522e62fad7,AMERICAN GAS ASSOCIATION,3,4a2b3def-0291-4fb3-af1f-f71dd644dbbb;67ea44cd-2394-4467-a57a-7710429d1e34;e6418e7d-d60f-4061-893f-6afd36085ed6,YA;YY;YA,2,2,false,false,false,9f05647ad479dd6a85e02b8b4fc323fa88ce4359869c67e3c2a78cd1bbadbe5b,candidate_group_not_adjudicated
287895,1004898,2008,first_quarter,cand-d5522e62fad7,AMERICAN GAS ASSOCIATION,2,19fa1416-7ba7-462f-8433-42d0f9079629;1bb3b2dd-83e5-48d5-94ff-57ca81e909da,1A;Q1,1,1,false,false,false,86ac115db6f347bd4e7d772201beab49a1d20999614e0a6a51bdf142c0d4e9f4,candidate_group_not_adjudicated
288577,1002923,2007,year_end,cand-b905d6833296,American Petroleum Institute,2,1baefdae-d431-49a6-9019-4a50700c403b;3e80ef8a-c5f6-4845-adec-dd4e7fddb8f9,YY;YT,0,0,false,false,false,ed5b93374c0403d00da0fb6fb549ff57dbe980dd8a8bab38fac434f26b117408,candidate_group_not_adjudicated
3060,12,2007,year_end,cand-b905d6833296,American Petroleum Institute,2,741b8f13-6cad-4025-b2dc-9b3b6962e857;f38d2543-0ffe-4750-aa11-a98682af8312,YY;YA,1,1,false,false,false,bbd3f25ad08db4e30309aeedea9e7a7c4c190186d94f23121e00d97106480e54,candidate_group_not_adjudicated
322077,12,2007,year_end,cand-b905d6833296,American Petroleum Institute,2,7a8af513-7df5-430e-bf04-072ae7838daa;b3c8e231-1bd8-4c64-bcd4-5b77c4d3b0a7,YT;YT,0,1,false,true,false,f2f31d237f4f6064ba7251787ba9dbb65fcad9157781010c06c3883e16c13ee9,candidate_group_not_adjudicated
32475,534,2003,year_end,cand-b905d6833296,American Petroleum Institute,2,0785b63f-9c34-404c-a898-7d15efd6eb25;7f0e96ed-5cff-4152-b77c-f8dfc442261f,YY;YA,1,1,false,false,false,e9d04fa59428b39aebe5428f191d9e72dc32d76d535e7eb9a236626ac8697f7e,candidate_group_not_adjudicated
