reformEventId,canonicalActorId,actorName,comparisonGroup,treated,sourceSystem,sourceOutcome,quarter,quarterIndex,eventTimeQuarter,periodStart,periodEnd,eventQuarter,includedInPrimary,prePostClass,observedSourceRecords,zeroFilled,activityAmountMillions,activityAmountDollars,log1pActivityDollars,preparationRule,claimBoundary
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q1,0,-2,2007-01-01,2007-03-31,no,yes,clean_pre,2,no,0.21878453,218784.53,12.29584722,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q2,1,-1,2007-04-01,2007-06-30,no,yes,clean_pre,2,no,0.22121547,221215.47,12.30689700,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q3,2,0,2007-07-01,2007-09-30,yes,no,event_quarter_excluded,2,no,0.24000000,240000.00,12.38839837,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q4,3,1,2007-10-01,2007-12-31,no,yes,post,2,no,0.24000000,240000.00,12.38839837,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q1,4,2,2008-01-01,2008-03-31,no,yes,post,2,no,0.26500000,265000.00,12.48748888,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q2,5,3,2008-04-01,2008-06-30,no,yes,post,2,no,0.29000000,290000.00,12.57763965,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q3,6,4,2008-07-01,2008-09-30,no,yes,post,2,no,0.29000000,290000.00,12.57763965,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,AMERICAN AMBULANCE ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q4,7,5,2008-10-01,2008-12-31,no,yes,post,2,no,0.29000000,290000.00,12.57763965,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q1,0,-2,2007-01-01,2007-03-31,no,yes,clean_pre,2,no,0.02983425,29834.25,10.30344600,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q2,1,-1,2007-04-01,2007-06-30,no,yes,clean_pre,2,no,0.03016575,30165.75,10.31449547,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
